18/12 22:49:13 INFO  Runner.initLogger - --- Updater started ---
18/12 22:49:13 INFO  Runner.main - args: [batch-install, D:\WebStorm 2019.3.3, C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\tmp\patch-update\WS-193.6494.34-193.6911.28-patch-jbr11-win.jar;C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\tmp\patch-update\WS-193.6911.28-193.7288.28-patch-jbr11-win.jar]
18/12 22:49:13 INFO  Runner.main - destFolder: D:\WebStorm 2019.3.3, case-sensitive: false
18/12 22:49:14 INFO  Runner.install - Extracting patch files...
18/12 22:49:14 INFO  Runner.install - Unpacking WS-193.6494.34-193.6911.28-patch-jbr11-win.jar
18/12 22:49:15 INFO  Utils.getTempFile - created a working directory: C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530
18/12 22:49:15 INFO  Utils.getZipEntry - entryPath: patch-file.zip
18/12 22:49:15 INFO  Runner.install - Unpacking WS-193.6911.28-193.7288.28-patch-jbr11-win.jar
18/12 22:49:15 INFO  Utils.getZipEntry - entryPath: patch-file.zip
18/12 22:49:15 INFO  Runner.install - Backing up files...
18/12 22:49:15 INFO  Utils.copyDirectory - D:\WebStorm 2019.3.3 -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0
18/12 22:49:15 INFO  Utils$2.preVisitDirectory -   D:\WebStorm 2019.3.3\bin -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\bin
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\bin\append.bat -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\bin\append.bat
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\bin\elevator.exe -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\bin\elevator.exe
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\bin\format.bat -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\bin\format.bat
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\bin\fsnotifier.exe -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\bin\fsnotifier.exe
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\bin\fsnotifier64.exe -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\bin\fsnotifier64.exe
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\bin\idea.properties -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\bin\idea.properties
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\bin\IdeaWin32.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\bin\IdeaWin32.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\bin\IdeaWin64.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\bin\IdeaWin64.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\bin\inspect.bat -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\bin\inspect.bat
